error_ratio,build_stt_s,storage_kb,rollback_time_s,pass_rate,invalidated_txs,challenge_paths
0,0.005505053475499153,281.21875,0.0,100.0,0,0
5,0.0054662757366895675,281.21875,0.909512299239248,89.499,210.02,94.42
10,0.005469251368194819,281.21875,1.558617694057852,79.56700000000001,408.66,177.44
15,0.005481840595602989,281.21875,2.121099945449561,70.877,582.46,249.24
20,0.005484148357063532,281.21875,2.6264622495881618,62.756,744.88,313.22
